,Timestamp,Trip ID_first,Segment_first,Latitude_mean,Longitude_mean,Bearing_mean,Speed_mean
0,2023-11-22 23:00:00,1.4010000632665492e+16,9.0,59.29653723765228,18.213058536335573,182.1271186440678,10.432203369625544
1,2023-11-22 23:01:00,1.4010000632665492e+16,9.0,59.30273165021624,18.177165342836965,198.39795918367344,9.569387820302223
2,2023-11-22 23:02:00,1.4010000632672854e+16,8.0,59.29516743678673,18.22641870087268,81.90196078431373,7.756862723359875
3,2023-11-22 23:03:00,1.4010000632665512e+16,11.0,59.293449850643384,18.25037529889275,50.8235294117647,11.323529355666215
12,2023-11-22 23:12:00,1.4010000632665608e+16,1.0,59.29041143564078,18.258411554189827,269.1923076923077,13.200000029343824
13,2023-11-22 23:13:00,1.4010000632665608e+16,1.0,59.29054455046958,18.25033731663481,280.93617021276594,10.234042573482432
14,2023-11-22 23:14:00,1.4010000632665608e+16,1.0,59.29246432440622,18.24196927888053,303.7142857142857,11.47499998978206
15,2023-11-22 23:15:00,1.4010000632665608e+16,2.0,59.2935668182373,18.232014465332032,269.36,10.985999813079834
16,2023-11-22 23:16:00,1.4010000632665608e+16,2.0,59.29569987761669,18.223077236077724,276.87179487179486,10.246153904841496
17,2023-11-22 23:17:00,1.4010000632665608e+16,2.0,59.29701038942499,18.21617714833405,302.77966101694915,8.554237268738827
18,2023-11-22 23:18:00,1.4010000632665608e+16,3.0,59.30518551994773,18.166986128863165,237.4,6.35647059398539
19,2023-11-22 23:19:00,1.4010000632665608e+16,3.0,59.31108363169544,18.131594154070008,179.99056603773585,3.232075439309174
20,2023-11-22 23:20:00,1.4010000632665608e+16,3.0,59.31050536592128,18.13410946474237,188.09322033898303,4.179661063824669
21,2023-11-22 23:21:00,1.4010000632670778e+16,1.0,59.310648900158,18.13292296427601,203.3018867924528,7.14245280342282
22,2023-11-22 23:22:00,1.4010000632665608e+16,4.0,59.29827302502048,18.188289252660606,237.3870967741935,7.678494658521426
23,2023-11-22 23:23:00,1.40100006326729e+16,1.0,59.29199638366699,18.20049982070923,191.25,6.000000011920929
24,2023-11-22 23:24:00,1.4010000632670778e+16,2.0,59.292589649077385,18.21886553302888,243.96774193548387,4.367741915487474
25,2023-11-22 23:25:00,1.40100006326729e+16,1.0,59.29395420411054,18.20510433701908,231.14705882352945,7.04044119049521
26,2023-11-22 23:26:00,1.4010000632665608e+16,5.0,59.295814536866686,18.19422617412749,201.0,9.954761955709683
27,2023-11-22 23:27:00,1.4010000632665608e+16,6.0,59.296475487193845,18.198052472081677,203.44827586206895,8.579885058019354
28,2023-11-22 23:28:00,1.4010000632665608e+16,7.0,59.29670515725779,18.200093790542248,207.0116279069767,8.163372122964194
29,2023-11-22 23:29:00,1.40100006326729e+16,1.0,59.29501200944949,18.205320211557243,228.98076923076923,7.362820485845591
30,2023-11-22 23:30:00,1.4010000632665608e+16,8.0,59.292955473991434,18.204292135723566,223.6214689265537,10.1553672424144
31,2023-11-22 23:31:00,1.4010000632665608e+16,9.0,59.29085965345135,18.208189301571604,224.15254237288136,8.868926666550717
32,2023-11-22 23:32:00,1.4010000632665608e+16,9.0,59.290436787075464,18.213114007314047,217.55,10.3938888364368
33,2023-11-22 23:33:00,1.4010000632665608e+16,9.0,59.28683424969109,18.232247294211874,219.00680272108843,10.314285690281666
34,2023-11-22 23:34:00,1.40100006326729e+16,2.0,59.29349913214245,18.21700204723943,158.03649635036496,8.854014544591417
35,2023-11-22 23:35:00,1.4010000632670778e+16,5.0,59.302449750900266,18.173432648181915,205.78125,7.423124983534217
36,2023-11-22 23:36:00,1.4010000632665666e+16,1.0,59.303565209065006,18.17155475791441,184.9816513761468,3.792660546958994
37,2023-11-22 23:37:00,1.4010000632665666e+16,1.0,59.30091301454316,18.183957073666633,220.23853211009177,4.660550470745892
38,2023-11-22 23:38:00,1.4010000632665646e+16,1.0,59.30839089141495,18.1421078429825,170.82758620689654,4.746551731537128
39,2023-11-22 23:39:00,1.4010000632665646e+16,1.0,59.30153601019232,18.18070514782055,160.66216216216216,10.143243258600837
40,2023-11-22 23:40:00,1.4010000632665646e+16,1.0,59.301869127930715,18.176618407754336,147.7436974789916,13.28571428972132
41,2023-11-22 23:41:00,1.4010000632665666e+16,2.0,59.302319362245754,18.169656830272455,166.7183908045977,12.5833333059289
42,2023-11-22 23:42:00,1.4010000632665666e+16,2.0,59.298960395481274,18.18921517289203,101.67391304347828,8.623369565476542
43,2023-11-22 23:43:00,1.4010000632670778e+16,7.0,59.298888027668,18.1729074716568,125.7265625,8.58515628427267
44,2023-11-22 23:44:00,1.4010000632665666e+16,3.0,59.299505895497845,18.1689929702655,104.01360544217688,13.674149642996236
45,2023-11-22 23:45:00,1.4010000632665666e+16,4.0,59.30289724138048,18.163462347454495,90.61805555555556,15.215972075859703
46,2023-11-22 23:46:00,1.4010000632665666e+16,5.0,59.30333797748272,18.175599520023052,91.66346153846152,9.58942312002182
47,2023-11-22 23:47:00,1.4010000632665666e+16,5.0,59.30990209334936,18.167167712480595,97.78205128205128,10.367948639087189
48,2023-11-22 23:48:00,1.4010000632665666e+16,7.0,59.29970357706259,18.214571271623885,195.65934065934067,13.62967040512588
49,2023-11-22 23:49:00,1.4010000632665646e+16,3.0,59.30014921489515,18.201823050515692,166.19298245614036,15.62690047632184
50,2023-11-22 23:50:00,1.4010000632665666e+16,8.0,59.296972352105215,18.20803450249337,172.73648648648648,17.77229720837361
51,2023-11-22 23:51:00,1.40100006326729e+16,5.0,59.29640790303548,18.208790702819822,186.4,15.84999985376994
