Trip_ID,Segment,30_min_prediction,60_min_prediction
14010000626967368,15.0,2.2794795,9.613053
14010000626967368,15.0,2.4855433,9.509202
14010000626967368,13.0,2.7744362,9.503812
14010000626967368,19.0,3.147439,9.550875
14010000626967368,20.0,3.3805892,9.5095005
14010000626967368,9.0,2.942329,8.534632
14010000626967368,23.0,2.9441574,8.532287
14010000626967368,23.0,2.965539,8.481803
14010000626967368,24.0,2.9580123,8.420601
14010000626967368,26.0,2.9311016,8.346989
14010000626967368,25.0,2.8378036,8.1967125
14010000626967368,25.0,2.8117306,8.228643
14010000626967368,25.0,2.813391,8.281572
14010000626967368,26.0,2.8701446,8.396635
14010000626967368,28.0,2.9496095,8.488901
14010000626967368,31.0,2.2980137,9.440883
14010000626967368,33.0,1.8615222,10.08148
14010000626967368,35.0,2.305844,9.71144
14010000626967368,8.0,2.893352,9.689009
14010000626967368,26.0,3.4379823,9.920956
14010000626967368,44.0,3.3635836,9.466458
14010000626967368,45.0,2.965299,8.657962
14010000626967368,1.0,3.0290904,8.897481
14010000626967368,2.0,3.1188872,9.100368
14010000626967368,2.0,2.4289548,9.906388
14010000626967368,4.0,1.9209813,10.398268
14010000626967368,8.0,2.49562,10.126125
14010000626967368,11.0,3.0352857,10.005229
14010000626967368,15.0,3.4908025,9.781688
14010000626967368,15.0,3.3569555,8.916686
14010000626967368,15.0,2.6235752,7.361876
14010000626967368,13.0,2.4364724,7.09851
14010000626967368,7.0,2.4532332,7.291058
14010000626967368,25.0,2.5575044,7.7310715
14010000626967368,25.0,2.7932308,8.358825
14010000626967368,25.0,2.9707067,8.819656
14010000626967368,29.0,3.1569388,9.242989
14010000626967368,30.0,3.1265404,9.084198
14010000626967368,31.0,3.2240508,9.022528
14010000626967368,33.0,3.0845456,8.650788
14010000626967368,35.0,2.871961,8.1916275
14010000626967368,36.0,2.6196053,7.643861
14010000626967368,38.0,2.6947112,7.7667584
14010000626967368,39.0,2.715156,7.822763
14010000626967368,24.0,2.729849,7.946343
14010000626967368,45.0,2.822427,8.236304
14010000626967368,5.0,2.9329238,8.585223
14010000626967368,46.0,2.9899013,8.790309
14010000626967368,2.0,3.0684805,8.967623
14010000626967368,1.0,2.988409,10.013231
14010000626967368,2.0,3.230673,9.880921
14010000626967368,2.0,3.197925,9.535959
14010000626967368,4.0,2.8590927,8.64956
14010000626967368,6.0,2.5087898,7.5420957
14010000626967368,6.0,2.7224295,7.8409014
14010000626967368,26.0,2.655343,7.6651177
14010000626967368,9.0,2.6953192,7.741523
14010000626967368,14.0,2.784133,7.9689417
14010000626967368,22.0,2.7158961,7.867494
14010000626967368,26.0,2.7168694,7.8423595
14010000626967368,25.0,2.7876575,7.998386
14010000626967368,25.0,2.715874,7.932783
14010000626967368,25.0,2.7968144,7.9314156
14010000626967368,26.0,2.7818391,7.9095225
14010000626967368,30.0,2.7672238,8.019592
14010000626967368,30.0,2.726381,7.900306
14010000626967368,31.0,2.5996997,7.629652
14010000626967368,39.0,2.8514946,7.9893293
14010000626967368,8.0,2.7727134,7.9012012
14010000626967368,23.0,2.6553252,7.8229165
14010000626967368,23.0,2.8382585,8.302843
14010000626967368,23.0,2.8876348,8.544924
14010000626967368,7.0,3.0905764,9.001382
14010000626967368,45.0,3.07947,9.085431
14010000626967368,5.0,3.1128466,9.209719
14010000626967368,5.0,3.22027,9.38333
14010000626967368,46.0,3.2326086,9.451429
14010000626967368,1.0,3.2684758,9.530235
14010000631165320,3.0,2.8744369,7.9211836
14010000631165320,4.0,2.8094485,7.6359453
14010000631165320,4.0,2.673342,7.403589
14010000631165320,5.0,2.549162,7.179564
14010000631165320,5.0,2.5356264,7.0336995
14010000631165320,5.0,2.6422174,7.197016
14010000631165320,5.0,2.6320953,7.0524616
14010000631165320,5.0,2.500992,6.85878
14010000631165320,6.0,2.397869,6.754394
14010000631165320,6.0,2.4826734,6.8368106
14010000631165320,6.0,2.4920864,6.6517386
14010000631165320,6.0,2.5890865,6.768782
14010000631165320,1.0,2.4573064,6.513009
14010000631165320,1.0,2.3386738,6.546392
14010000631165320,1.0,2.3552084,7.1619873
14010000631165320,1.0,2.565298,8.087073
14010000631165320,1.0,2.8274093,8.831927
14010000631165320,2.0,3.1376252,9.439731
14010000631165320,3.0,3.2683928,9.621228
14010000631165320,4.0,3.2442617,9.399315
14010000631165320,4.0,3.149907,9.13207
14010000631165320,4.0,3.0500557,8.755789
14010000631165320,4.0,2.9749782,8.377393
14010000631165320,4.0,2.8767185,8.106391
14010000631165320,5.0,2.760367,7.818425
14010000631165320,5.0,2.636483,7.5012994
14010000631165320,5.0,2.6729014,7.3631916
14010000631165320,6.0,2.65878,7.2672887
14010000631165320,6.0,2.567708,7.017772
14010000631165320,1.0,2.512129,6.7870235
14010000631165320,1.0,2.3877532,6.714865
14010000631165320,1.0,2.4835851,7.290363
14010000631165320,1.0,2.4703271,7.64245
14010000631165320,2.0,2.5692189,8.034524
14010000631165320,2.0,2.8642023,8.5878935
14010000631165320,3.0,2.9752378,8.771801
14010000631165320,3.0,2.9766521,8.807949
14010000631165320,4.0,2.8739805,8.667084
14010000631165320,4.0,2.9212341,8.685981
14010000631165320,4.0,2.9893036,8.73804
14010000631165320,4.0,2.960405,8.569275
14010000631165320,5.0,2.8744974,8.320975
14010000631165320,5.0,2.826575,8.12869
14010000631165320,5.0,2.7812746,7.945892
14010000631165320,5.0,2.714262,7.7960854
14010000631165320,5.0,2.7095137,7.789567
14010000631165320,5.0,2.6459439,7.6839833
14010000631165320,6.0,2.6751091,7.7020993
14010000631165368,4.0,2.772629,7.8942566
14010000631165368,4.0,2.802266,7.898332
14010000631165368,6.0,2.6975403,7.6110163
14010000631165368,6.0,2.591997,7.429755
14010000631165368,6.0,2.5805812,7.4847093
14010000631165368,6.0,2.6311705,7.6724005
14010000631165368,2.0,2.6267958,7.719019
14010000631165368,3.0,2.7223432,7.8434925
14010000631165368,4.0,2.7311685,7.6609154
14010000631165368,4.0,2.7169585,7.5593176
14010000631165368,4.0,2.6471083,7.474272
14010000631165368,4.0,2.562224,7.426738
14010000631165368,5.0,2.5722833,7.4576917
