Timestamp,Trip ID_first,Segment_first,Latitude_mean,Longitude_mean,Bearing_mean,Speed_mean
2023-01-09 08:50:00,1.4010000626967368e+16,2.0,59.77348289489746,18.689492416381835,80.3,6.410000038146973
2023-01-09 08:51:00,1.4010000626967368e+16,2.0,59.77352263132731,18.691104888916016,89.83333333333333,1.8616666436195373
2023-01-09 08:52:00,1.4010000626967368e+16,2.0,59.77298882802327,18.693391609191895,163.11666666666667,5.351666680971781
2023-01-09 08:53:00,1.4010000626967368e+16,2.0,59.77144321642424,18.69230832551655,188.3684210526316,6.526315814570377
2023-01-09 08:54:00,1.4010000626967368e+16,3.0,59.76701492733426,18.696250862545437,170.44444444444446,6.719444410668479
2023-01-09 08:55:00,1.4010000626967368e+16,4.0,59.76542169539655,18.69646966652792,186.04918032786884,3.232786895798855
2023-01-09 08:56:00,1.4010000626967368e+16,5.0,59.761396471659346,18.696555042266844,173.18333333333334,8.893333435058594
2023-01-09 08:57:00,1.4010000626967368e+16,26.0,59.75910129547119,18.697063064575197,184.93333333333334,0.3033333321412404
2023-01-09 08:58:00,1.4010000626967368e+16,26.0,59.75878467559814,18.69955520629883,139.16666666666666,6.658333367109298
2023-01-09 08:59:00,1.4010000626967368e+16,8.0,59.75948463052006,18.702415401652708,80.69491525423729,0.5542372727798204
2023-01-09 09:00:00,1.4010000626967368e+16,8.0,59.759746767439935,18.7043181365391,76.39622641509433,3.9415094717493595
2023-01-09 09:01:00,1.4010000626967368e+16,9.0,59.75998945493956,18.706792573671084,86.64864864864865,2.6351351286913895
2023-01-09 09:02:00,,,,,,
2023-01-09 09:03:00,1.4010000626967368e+16,21.0,59.76266257707463,18.71383170194404,162.95348837209303,8.165116376655046
2023-01-09 09:04:00,1.4010000626967368e+16,11.0,59.76601972579956,18.71471858024597,250.575,6.300000083446503
2023-01-09 09:05:00,1.4010000626967368e+16,12.0,59.76827548100398,18.72009900900034,108.88461538461539,4.56153848538032
2023-01-09 09:06:00,1.4010000626967368e+16,13.0,59.76825389862061,18.722714948654176,76.175,2.382499986886978
2023-01-09 09:07:00,1.4010000626967368e+16,13.0,59.76799464870144,18.726833807455527,137.56756756756758,4.916216218793714
2023-01-09 09:08:00,1.4010000626967368e+16,14.0,59.76633288409259,18.728336024928737,184.21621621621622,4.613513469696045
2023-01-09 09:09:00,1.4010000626967368e+16,15.0,59.76542055284655,18.729547449060387,297.27027027027026,2.402702695614583
2023-01-09 09:10:00,1.4010000626967368e+16,15.0,59.76657638549805,18.7282961164202,204.9142857142857,7.471428530556815
2023-01-09 09:11:00,1.4010000626967368e+16,16.0,59.76838512809909,18.724589133749202,266.7959183673469,7.651020497691874
2023-01-09 09:12:00,1.4010000626967368e+16,17.0,59.76801499866304,18.718489011128742,262.8809523809524,9.807142899149941
2023-01-09 09:13:00,1.4010000626967368e+16,19.0,59.76657962799072,18.714539782206217,188.0,3.656666656335195
2023-01-09 09:14:00,1.4010000626967368e+16,11.0,59.76324043899286,18.713872096577628,189.60655737704917,8.92459023585085
2023-01-09 09:15:00,1.4010000626967368e+16,21.0,59.76022010013975,18.710891789403455,246.31034482758622,5.939655250516431
2023-01-09 09:16:00,1.4010000626967368e+16,9.0,59.760081418355306,18.707008775075277,279.3833333333333,2.430000030994415
2023-01-09 09:17:00,1.4010000626967368e+16,8.0,59.75963586275695,18.702872760960314,255.62295081967213,2.701639355206099
2023-01-09 09:18:00,1.4010000626967368e+16,23.0,59.759572982788086,18.70240075771625,256.0,0.0
2023-01-09 09:19:00,1.4010000626967368e+16,23.0,59.75957200792101,18.702393425835503,244.62222222222223,0.0
2023-01-09 09:20:00,1.4010000626967368e+16,23.0,59.759031557569315,18.701474058861827,235.5686274509804,4.823529460850884
2023-01-09 09:21:00,1.4010000626967368e+16,24.0,59.758795420328774,18.697628657023113,274.5,1.5700000007947286
2023-01-09 09:22:00,1.4010000626967368e+16,26.0,59.75793325705607,18.697376782776878,190.7377049180328,3.6803278737380856
2023-01-09 09:23:00,1.4010000626967368e+16,25.0,59.75649794216814,18.699233055114746,153.55172413793105,4.499999967114679
2023-01-09 09:24:00,1.4010000626967368e+16,25.0,59.75710179728846,18.70000368548978,275.1290322580645,0.8564516094423109
2023-01-09 09:25:00,1.4010000626967368e+16,25.0,59.757175577097925,18.698739709525274,283.5,2.6362068838086623
2023-01-09 09:26:00,1.4010000626967368e+16,26.0,59.757807128283446,18.695856872869996,290.46938775510205,5.591836783350731
2023-01-09 09:27:00,1.4010000626967368e+16,27.0,59.75730952094583,18.691870296702664,180.41176470588235,5.77058823669658
2023-01-09 09:28:00,1.4010000626967368e+16,28.0,59.7552615404129,18.691574454307556,187.5,6.921874955296516
2023-01-09 09:29:00,1.4010000626967368e+16,29.0,59.75307381671408,18.691668095796004,110.47826086956522,6.091304400692815
2023-01-09 09:30:00,1.4010000626967368e+16,31.0,59.75267377392999,18.69372486246043,98.0,0.0
2023-01-09 09:31:00,1.4010000626967368e+16,31.0,59.75267910566486,18.69713436189245,83.34426229508196,8.383606443639662
2023-01-09 09:32:00,1.4010000626967368e+16,33.0,59.7542552118716,18.702070982559867,164.45652173913044,5.793478302333666
2023-01-09 09:33:00,1.4010000626967368e+16,34.0,59.7536586523056,18.70569658279419,105.84375,6.137500047683716
2023-01-09 09:34:00,1.4010000626967368e+16,35.0,59.7536798560101,18.71141010781993,86.0,7.078260919322139
2023-01-09 09:35:00,1.4010000626967368e+16,37.0,59.754770596822105,18.717029518551296,125.41666666666667,2.013888862397936
